Date;Stock_Price;Shares;Equity;Debt;Asset
1996-01-03;174.257;11.515;2006.569355;5358;7364.569355
1996-01-04;175.23;11.515;2017.77345;5358;7375.77345
1996-01-05;177.567;11.515;2044.684005;5358;7402.684005
1996-01-08;175.814;11.515;2024.49821;5358;7382.49821
1996-01-09;177.177;11.515;2040.193155;5358;7398.193155
1996-01-10;173.867;11.515;2002.078505;5358;7360.078505
1996-01-11;173.283;11.515;1995.353745;5358;7353.353745
1996-01-12;176.398;11.515;2031.22297;5358;7389.22297
1996-01-15;174.451;11.515;2008.803265;5358;7366.803265
1996-01-16;175.425;11.515;2020.018875;5358;7378.018875
1996-01-17;182.045;11.515;2096.248175;5358;7454.248175
1996-01-18;185.939;11.515;2141.087585;5358;7499.087585
1996-01-19;194.7;11.515;2241.9705;5358;7599.9705
1996-01-22;194.7;11.515;2241.9705;5358;7599.9705
1996-01-23;192.753;11.515;2219.550795;5358;7577.550795
1996-01-24;187.886;11.515;2163.50729;5358;7521.50729
1996-01-25;191.196;11.515;2201.62194;5358;7559.62194
1996-01-26;192.364;11.515;2215.07146;5358;7573.07146
1996-01-29;188.859;11.515;2174.711385;5358;7532.711385
1996-01-30;191.78;11.515;2208.3467;5358;7566.3467
1996-01-31;193.727;11.515;2230.766405;5358;7588.766405
1996-02-01;200.152;11.515;2304.75028;5358;7662.75028
1996-02-02;200.152;11.515;2304.75028;5358;7662.75028
1996-02-05;196.258;11.515;2259.91087;5358;7617.91087
1996-02-06;195.284;11.515;2248.69526;5358;7606.69526
1996-02-07;199.568;11.515;2298.02552;5358;7656.02552
1996-02-08;199.373;11.515;2295.780095;5358;7653.780095
1996-02-09;199.568;11.515;2298.02552;5358;7656.02552
1996-02-12;198.205;11.515;2282.330575;5358;7640.330575
1996-02-13;198.4;11.515;2284.576;5358;7642.576
1996-02-14;194.506;11.515;2239.73659;5358;7597.73659
1996-02-15;193.727;11.515;2230.766405;5358;7588.766405
1996-02-16;192.364;11.515;2215.07146;5358;7573.07146
1996-02-19;197.426;11.515;2273.36039;5358;7631.36039
1996-02-20;194.7;11.515;2241.9705;5358;7599.9705
1996-02-21;196.453;11.515;2262.156295;5358;7620.156295
1996-02-22;197.621;11.515;2275.605815;5358;7633.605815
1996-02-23;202.488;11.515;2331.64932;5358;7689.64932
1996-02-26;212.223;11.515;2443.747845;5358;7801.747845
1996-02-27;210.86;11.515;2428.0529;5358;7786.0529
1996-02-28;212.807;11.515;2450.472605;5358;7808.472605
1996-02-29;224.879;11.515;2589.481685;5358;7947.481685
1996-03-01;227.215;11.515;2616.380725;5358;7974.380725
1996-03-04;224.879;11.515;2589.481685;5358;7947.481685
1996-03-05;218.064;11.515;2511.00696;5358;7869.00696
1996-03-06;216.117;11.515;2488.587255;5358;7846.587255
1996-03-07;215.144;11.515;2477.38316;5358;7835.38316
1996-03-08;213.586;11.515;2459.44279;5358;7817.44279
1996-03-11;213.197;11.515;2454.963455;5358;7812.963455
1996-03-12;213.586;11.515;2459.44279;5358;7817.44279
1996-03-13;215.144;11.515;2477.38316;5358;7835.38316
1996-03-14;215.339;11.515;2479.628585;5358;7837.628585
1996-03-15;218.064;11.515;2511.00696;5358;7869.00696
1996-03-18;225.463;11.515;2596.206445;5358;7954.206445
1996-03-19;231.888;11.515;2670.19032;5358;8028.19032
1996-03-20;239.287;11.515;2755.389805;5358;8113.389805
1996-03-21;240.65;11.515;2771.08475;5358;8129.08475
1996-03-22;259.341;11.515;2986.311615;5358;8344.311615
1996-03-25;261.482;11.515;3010.96523;5358;8368.96523
1996-03-26;254.084;11.515;2925.77726;5358;8283.77726
1996-03-27;251.942;11.515;2901.11213;5358;8259.11213
1996-03-28;247.853;11.515;2854.027295;5358;8212.027295
1996-03-29;243.375;11.515;2802.463125;5358;8160.463125
1996-04-01;239.481;11.515;2757.623715;5358;8115.623715
1996-04-02;240.065;11.515;2764.348475;5358;8122.348475
1996-04-03;240.455;11.515;2768.839325;5358;8126.839325
1996-04-04;251.747;11.515;2898.866705;5358;8256.866705
1996-04-09;251.163;11.515;2892.141945;5358;8250.141945
1996-04-10;255.447;11.515;2941.472205;5358;8299.472205
1996-04-11;251.163;11.515;2892.141945;5358;8250.141945
1996-04-12;250.774;11.515;2887.66261;5358;8245.66261
1996-04-15;247.659;11.515;2851.793385;5358;8209.793385
1996-04-16;253.5;11.515;2919.0525;5358;8277.0525
1996-04-17;249.216;11.515;2869.72224;5358;8227.72224
1996-04-18;242.986;11.515;2797.98379;5358;8155.98379
1996-04-19;243.181;11.515;2800.229215;5358;8158.229215
1996-04-22;243.375;11.515;2802.463125;5358;8160.463125
1996-04-23;242.402;11.515;2791.25903;5358;8149.25903
1996-04-24;242.791;11.515;2795.738365;5358;8153.738365
1996-04-25;239.871;11.515;2762.114565;5358;8120.114565
1996-04-26;239.481;11.515;2757.623715;5358;8115.623715
1996-04-29;236.561;11.515;2723.999915;5358;8081.999915
1996-04-30;239.481;11.515;2757.623715;5358;8115.623715
1996-05-01;238.2155;11.515;2743.051483;5358;8101.051483
