Exchange Date;Open;Close;Last;Volume;High;Low;Close to Close Change;;Open to Close Change;;;;;
10-Oct-2015;91.53;91.53;;--;91.53;91.53;0;0;0;0;;;;
09-Oct-2015;89.48;91.53;;--;91.76;89.34;2.78;2.48;2.29;2.05;;;;
08-Oct-2015;87.89;89.05;;--;89.21;87.09;1.32;1.16;1.32;1.16;;;;
07-Oct-2015;86.37;87.89;;--;87.91;85.45;1.94;1.67;1.76;1.52;;;;
06-Oct-2015;88.73;86.22;;--;89.06;86.18;-2.83;-2.51;-2.83;-2.51;;;;
05-Oct-2015;87.07;88.73;;--;88.94;86.91;2.84;2.45;1.91;1.66;;;;
02-Oct-2015;85.72;86.28;;--;86.28;84.19;-0.31;-0.27;0.65;0.56;;;;
01-Oct-2015;86.34;86.55;;--;86.64;85.16;0.06;0.05;0.24;0.21;;;;
30-Sep-2015;85.36;86.5;;--;86.53;84.92;1.93;1.64;1.34;1.14;;;;
29-Sep-2015;84.41;84.86;;--;85.57;84.06;0.53;0.45;0.53;0.45;;;;
28-Sep-2015;85.02;84.41;;--;85.05;82.52;-1.31;-1.12;-0.72;-0.61;;;;
25-Sep-2015;86.24;85.53;;--;86.43;85;0.08;0.07;-0.82;-0.71;;;;
24-Sep-2015;85.92;85.46;;--;86;84.34;-1.21;-1.05;-0.54;-0.46;;;;
23-Sep-2015;86.91;86.51;;--;87.24;85.55;-0.1;-0.09;-0.46;-0.4;;;;
22-Sep-2015;88.42;86.6;;--;88.42;85.96;-3;-2.68;-2.06;-1.82;;;;
21-Sep-2015;89.78;89.28;;--;90.62;88.74;-0.29;-0.26;-0.56;-0.5;;;;
18-Sep-2015;90.34;89.54;;--;90.58;89.43;-1.43;-1.3;-0.89;-0.8;;;;
17-Sep-2015;89.21;90.84;;--;91.78;89.18;1.85;1.65;1.83;1.63;;;;
16-Sep-2015;88.29;89.19;;--;89.48;88.1;1.04;0.92;1.02;0.9;;;;
15-Sep-2015;88.06;88.27;;--;88.63;87.55;0.59;0.52;0.24;0.21;;;;
14-Sep-2015;87.58;87.75;;--;87.77;87.03;0.19;0.17;0.19;0.17;;;;
11-Sep-2015;87.32;87.58;;--;87.88;86.94;0.36;0.31;0.3;0.26;;;;
10-Sep-2015;87.17;87.27;;--;87.88;86.69;0.18;0.16;0.11;0.1;;;;
09-Sep-2015;87.95;87.11;;--;88.46;86.9;-0.08;-0.07;-0.96;-0.84;;;;
08-Sep-2015;86.24;87.18;;--;87.5;86.23;2.42;2.06;1.09;0.94;;;;
04-Sep-2015;83.84;85.12;;--;85.86;83.69;0.7;0.59;1.53;1.28;;;;
03-Sep-2015;85.27;84.53;;--;86.2;84.47;-0.62;-0.53;-0.87;-0.74;;;;
02-Sep-2015;82.57;85.06;;--;85.08;82.57;3.62;2.97;3.02;2.49;;;;
01-Sep-2015;82.4;82.09;;--;83.11;81.66;-1.84;-1.54;-0.38;-0.31;;;;
31-Aug-2015;83.72;83.63;;--;84.78;83.6;-0.37;-0.31;-0.11;-0.09;;;;
28-Aug-2015;84.09;83.94;;--;84.69;83.54;-0.04;-0.03;-0.18;-0.15;;;;
27-Aug-2015;83.75;83.97;;--;84.67;82.58;1.63;1.35;0.26;0.22;;;;
26-Aug-2015;82.93;82.62;;--;83.3;80.11;1.03;0.84;-0.37;-0.31;;;;
25-Aug-2015;84.35;81.78;;--;85.08;81.75;-0.07;-0.06;-3.05;-2.57;;;;
24-Aug-2015;79.75;81.84;;--;84.76;76.99;-4.31;-3.69;2.62;2.09;;;;
21-Aug-2015;87.78;85.53;;--;88.22;85.48;-3.54;-3.14;-2.56;-2.25;;;;
20-Aug-2015;90.32;88.67;;--;90.71;88.61;-2.86;-2.61;-1.83;-1.65;;;;
19-Aug-2015;91.72;91.28;;--;92.14;90.52;-0.83;-0.76;-0.48;-0.44;;;;
18-Aug-2015;92.82;92.04;;--;93.12;91.42;-1.36;-1.27;-0.84;-0.78;;;;
17-Aug-2015;91.94;93.31;;--;93.54;91.76;1.3;1.2;1.49;1.37;;;;
14-Aug-2015;92.4;92.11;;--;92.89;91.7;-0.64;-0.59;-0.31;-0.29;;;;
13-Aug-2015;93.24;92.7;;--;93.49;91.63;-0.35;-0.33;-0.58;-0.54;;;;
12-Aug-2015;93.46;93.03;;--;93.5;90.12;-1.13;-1.06;-0.46;-0.43;;;;
11-Aug-2015;94.2;94.09;;--;95.12;93.26;-0.23;-0.22;-0.12;-0.11;;;;
10-Aug-2015;93.88;94.31;;--;95.08;93.81;0.96;0.9;0.46;0.43;;;;
07-Aug-2015;93.91;93.41;;--;94.73;93.07;-0.56;-0.53;-0.53;-0.5;;;;
06-Aug-2015;95.35;93.94;;--;95.97;93.62;-1.38;-1.31;-1.48;-1.41;;;;
05-Aug-2015;95.5;95.25;;--;96.23;95.25;0.2;0.19;-0.26;-0.25;;;;
04-Aug-2015;94.72;95.06;;--;95.56;94.51;0.85;0.8;0.36;0.34;;;;
03-Aug-2015;93.22;94.26;;--;94.86;93.02;1.53;1.42;1.12;1.04;;;;
31-Jul-2015;92.09;92.84;;--;93.05;91.88;2.03;1.85;0.81;0.75;;;;
30-Jul-2015;91.29;90.99;;--;91.43;90.31;-0.38;-0.35;-0.33;-0.3;;;;
29-Jul-2015;90.46;91.34;;--;92.31;90.19;0.78;0.71;0.97;0.88;;;;
28-Jul-2015;90.11;90.63;;--;90.99;89.84;1;0.9;0.58;0.52;;;;
27-Jul-2015;91.83;89.73;;--;91.83;89.07;-3.53;-3.28;-2.29;-2.1;;;;
24-Jul-2015;96.02;93.01;;--;96.15;92.76;-2.75;-2.63;-3.13;-3.01;;;;
23-Jul-2015;97.41;95.64;;--;98.32;95.33;-0.39;-0.37;-1.82;-1.77;;;;
22-Jul-2015;95.95;96.01;;--;96.54;95.7;-0.2;-0.19;0.06;0.06;;;;
21-Jul-2015;95.78;96.2;;--;96.59;95.52;1.03;0.98;0.44;0.42;;;;
20-Jul-2015;96.97;95.22;;--;96.97;95.12;-1.58;-1.53;-1.8;-1.75;;;;
17-Jul-2015;96.7;96.75;;--;97.44;96.38;0.37;0.36;0.05;0.05;;;;
16-Jul-2015;96.64;96.39;;--;97.4;96.25;0.48;0.46;-0.26;-0.25;;;;
15-Jul-2015;95.75;95.93;;--;96.6;94.62;-0.71;-0.69;0.19;0.18;;;;
14-Jul-2015;96.82;96.62;;--;97.03;95.86;-0.73;-0.71;-0.21;-0.2;;;;
13-Jul-2015;96.47;97.33;;--;97.59;96.47;2.42;2.3;0.89;0.86;;;;
